iter	Passed	Remaining
0	15	3090
1	32	3177
2	54	3591
3	70	3464
4	91	3578
5	106	3452
6	122	3366
7	136	3264
8	151	3217
9	165	3144
10	182	3129
11	196	3082
12	212	3055
13	227	3024
14	244	3012
15	263	3032
16	283	3048
17	298	3014
18	315	3001
19	335	3017
20	349	2977
21	363	2940
22	378	2913
23	392	2879
24	406	2846
25	422	2825
26	436	2798
27	454	2790
28	469	2771
29	488	2766
30	501	2736
31	515	2708
32	531	2690
33	549	2680
34	562	2650
35	577	2629
36	595	2621
37	612	2610
38	629	2597
39	643	2572
40	664	2578
41	687	2585
42	707	2584
43	730	2589
44	754	2598
45	781	2616
46	804	2617
47	839	2657
48	860	2652
49	904	2712
50	934	2729
51	968	2756
52	999	2771
53	1029	2783
54	1060	2795
55	1083	2787
56	1118	2806
57	1140	2793
58	1172	2803
59	1194	2787
60	1220	2781
61	1242	2766
62	1265	2753
63	1287	2736
64	1308	2717
65	1331	2703
66	1355	2691
67	1381	2681
68	1403	2664
69	1431	2657
70	1458	2650
71	1482	2635
72	1510	2627
73	1536	2615
74	1563	2605
75	1584	2585
76	1610	2573
77	1630	2550
78	1656	2537
79	1681	2522
80	1705	2505
81	1724	2482
82	1755	2474
83	1779	2457
84	1805	2442
85	1832	2428
86	1854	2408
87	1897	2414
88	1929	2406
89	1948	2381
90	1967	2357
91	1987	2332
92	2010	2313
93	2040	2300
94	2064	2281
95	2101	2276
96	2126	2257
97	2144	2232
98	2165	2209
99	2199	2199
100	2225	2181
101	2260	2172
102	2283	2150
103	2306	2128
104	2324	2103
105	2343	2078
106	2363	2054
107	2382	2029
108	2400	2003
109	2418	1978
110	2438	1955
111	2458	1931
112	2478	1908
113	2504	1889
114	2521	1863
115	2543	1841
116	2568	1822
117	2589	1799
118	2606	1774
119	2626	1750
120	2648	1729
121	2669	1706
122	2687	1682
123	2707	1659
124	2724	1634
125	2742	1610
126	2763	1588
127	2784	1566
128	2803	1543
129	2821	1519
130	2847	1499
131	2864	1475
132	2887	1454
133	2908	1432
134	2924	1408
135	2939	1383
136	2955	1358
137	2972	1335
138	2990	1312
139	3009	1289
140	3027	1266
141	3050	1246
142	3073	1225
143	3103	1206
144	3119	1183
145	3152	1165
146	3173	1144
147	3201	1124
148	3234	1107
149	3257	1085
150	3278	1063
151	3299	1041
152	3318	1019
153	3346	999
154	3375	979
155	3401	959
156	3423	937
157	3453	917
158	3477	896
159	3508	877
160	3534	856
161	3563	835
162	3591	815
163	3612	792
164	3645	773
165	3680	753
166	3711	733
167	3730	710
168	3750	687
169	3769	665
170	3800	644
171	3821	622
172	3845	600
173	3869	578
174	3900	557
175	3920	534
176	3950	513
177	3979	491
178	3998	469
179	4034	448
180	4059	426
181	4097	405
182	4115	382
183	4162	361
184	4193	340
185	4221	317
186	4242	294
187	4267	272
188	4304	250
189	4340	228
190	4369	205
191	4399	183
192	4425	160
193	4447	137
194	4486	115
195	4519	92
196	4547	69
197	4576	46
198	4621	23
199	4649	0
