Stock,Status,Processing_Time_s,Optimal_Threshold,Sharpe_Ratio,Annualized_Return,Max_Drawdown,Trade_Count
AAPL,Success,54.180798053741455,N/A,18.855559064069247,7.92797143495092e+43,-0.0015000000000000343,271
AMZN,Success,75.55965995788574,N/A,19.021744238623445,1.1968783202410056e+44,-0.001500000000000012,345
BSX,Success,77.08750581741333,N/A,17.016039289256046,1.0674093095555607e+40,-0.0015000000000000345,317
BX,Success,77.57444286346436,N/A,18.65816338456571,9.503374315768533e+42,-0.001500000000000004,318
AMD,Success,78.42721724510193,N/A,16.919532990125344,7.88013485079122e+38,-0.0015000000000000328,380
AVGO,Success,80.12098717689514,N/A,18.14679809258922,2.0520993088958893e+42,-0.0015000000000000044,388
DLR,Success,80.70829796791077,N/A,18.381983133498622,6.491677199145367e+42,-0.0015000000000000482,342
ADP,Success,81.36900806427002,N/A,18.597796065937224,3.540535556449302e+43,-0.0015000000000000371,356
EWJ,Success,64.37822580337524,N/A,17.6440455375976,1.444018757573218e+40,-0.0015000000000000208,308
MSFT,Success,66.53790998458862,N/A,17.60199118818144,1.2209616576505029e+41,-0.0015000000000000215,320
MDLZ,Success,67.89681720733643,N/A,17.70670956592506,6.967020832847779e+41,-0.0015000000000000456,369
EBAY,Success,96.83374691009521,N/A,17.0390080960661,1.4295971371858665e+40,-0.001500000000000002,374
PLTR,Failed,N/A,N/A,N/A,N/A,N/A,N/A
QQQ,Failed,N/A,N/A,N/A,N/A,N/A,N/A
RBLX,Failed,N/A,N/A,N/A,N/A,N/A,N/A
TSLA,Success,35.32993197441101,N/A,17.48401592008466,1.419474736533494e+41,-0.0015000000000000321,387
TMUS,Success,57.40938091278076,N/A,18.67123056953509,1.726059822325765e+43,-0.0015000000000000486,373
XEL,Failed,N/A,N/A,N/A,N/A,N/A,N/A
HD,Success,156.37309789657593,N/A,18.86018275657515,8.019763735394048e+43,-0.001500000000000048,319
GILD,Success,163.94724035263062,N/A,16.494256033469824,2.2371452868517693e+38,-0.0015000000000000345,400
XLU,Success,58.92184090614319,N/A,19.146795550776663,5.114119545235595e+44,-0.001500000000000037,378
V,Success,107.10585403442383,N/A,20.030293717327652,9.396474615899853e+45,-0.0015000000000000388,343
HCA,Success,221.1949291229248,N/A,18.038850657542262,1.792068745914981e+42,-0.0015000000000000313,353
GOOG,Success,226.97796201705933,N/A,18.311560337533447,9.072470140906546e+42,-0.0015000000000000371,319
NOW,Success,165.37247800827026,N/A,18.959885368112413,2.978174320055564e+43,-0.0015000000000000202,320
XLI,Success,85.73155808448792,N/A,18.383858989975653,1.959999976426118e+42,-0.0015000000000000356,300
NVDA,Success,158.8613839149475,N/A,17.553839980340893,2.509454448053122e+41,-0.0015000000000000384,337
