Stock,Status,Processing_Time_s,Optimal_Threshold,Sharpe_Ratio,Annualized_Return,Max_Drawdown,Trade_Count
AVGO,Success,15.764882326126099,N/A,N/A,N/A,N/A,N/A
TMUS,Success,12.881477117538452,N/A,N/A,N/A,N/A,N/A
XLI,Success,30.42980408668518,N/A,N/A,N/A,N/A,N/A
AMZN,Success,4.423578977584839,N/A,N/A,N/A,N/A,N/A
BSX,Success,4.24025821685791,N/A,N/A,N/A,N/A,N/A
GOOG,Success,4.139001846313477,N/A,N/A,N/A,N/A,N/A
EBAY,Success,3.8997690677642822,N/A,N/A,N/A,N/A,N/A
MDLZ,Success,3.757612943649292,N/A,N/A,N/A,N/A,N/A
NVDA,Success,3.639493942260742,N/A,N/A,N/A,N/A,N/A
DLR,Success,3.874279022216797,N/A,N/A,N/A,N/A,N/A
GILD,Success,3.7973568439483643,N/A,N/A,N/A,N/A,N/A
QQQ,Failed,N/A,N/A,N/A,N/A,N/A,N/A
AAPL,Success,3.812152147293091,N/A,N/A,N/A,N/A,N/A
XEL,Failed,N/A,N/A,N/A,N/A,N/A,N/A
EWJ,Success,3.6773428916931152,N/A,N/A,N/A,N/A,N/A
V,Success,3.631375789642334,N/A,N/A,N/A,N/A,N/A
TSLA,Success,53.42623496055603,N/A,N/A,N/A,N/A,N/A
XLU,Success,3.7206969261169434,N/A,N/A,N/A,N/A,N/A
AMD,Success,57.2936749458313,N/A,N/A,N/A,N/A,N/A
HCA,Success,3.903980016708374,N/A,N/A,N/A,N/A,N/A
NOW,Success,4.227008104324341,N/A,N/A,N/A,N/A,N/A
HD,Success,58.495681047439575,N/A,N/A,N/A,N/A,N/A
PLTR,Failed,N/A,N/A,N/A,N/A,N/A,N/A
RBLX,Failed,N/A,N/A,N/A,N/A,N/A,N/A
ADP,Success,59.18205714225769,N/A,N/A,N/A,N/A,N/A
MSFT,Success,60.31512904167175,N/A,N/A,N/A,N/A,N/A
BX,Success,61.90013790130615,N/A,N/A,N/A,N/A,N/A
