Ticker,Data_Points,Total_Return,Annualized_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate
AMZN,647,12.0360,1.7186,0.2896,5.8645,-0.0804,0.5750
RBLX,217,1.6282,2.0715,0.5569,3.6840,-0.1904,0.5760
V,647,3.4707,0.7919,0.2132,3.6212,-0.1277,0.5951
HD,568,2.5736,0.7595,0.2079,3.5571,-0.1001,0.5546
GOOG,602,3.6780,0.9076,0.2586,3.4327,-0.1226,0.5714
BX,652,6.5336,1.1826,0.3434,3.3852,-0.1507,0.5660
NVDA,659,7.4271,1.2593,0.3796,3.2644,-0.2432,0.5417
MDLZ,732,2.6469,0.5612,0.1815,2.9822,-0.1015,0.5574
QQQ,382,1.0575,0.6096,0.1983,2.9734,-0.0803,0.5838
XLU,751,1.7965,0.4121,0.1395,2.8106,-0.0638,0.5859
EWJ,653,1.5873,0.4432,0.1576,2.6855,-0.0684,0.5636
ADP,678,2.1963,0.5402,0.2005,2.5949,-0.0767,0.5560
XLI,585,1.2866,0.4280,0.1588,2.5686,-0.0734,0.5487
XEL,815,2.3456,0.4527,0.1698,2.5477,-0.0900,0.5755
NOW,604,3.8681,0.9354,0.3662,2.4995,-0.1972,0.5712
EBAY,639,2.4254,0.6251,0.2646,2.2871,-0.1356,0.5243
AVGO,721,4.0323,0.7591,0.3345,2.2096,-0.1833,0.5409
AMD,746,6.5924,0.9833,0.4560,2.1127,-0.1952,0.5134
DLR,681,2.0591,0.5125,0.2363,2.0844,-0.1307,0.5712
AAPL,544,1.5128,0.5324,0.2493,2.0555,-0.1012,0.5496
HCA,647,1.9299,0.5200,0.2868,1.7430,-0.1648,0.5301
BSX,621,1.4960,0.4494,0.2487,1.7269,-0.1055,0.5233
MSFT,627,1.4447,0.4323,0.2427,1.6990,-0.1287,0.5199
TMUS,687,1.6276,0.4253,0.2999,1.3516,-0.1823,0.5459
GILD,760,1.2939,0.3169,0.2558,1.1606,-0.1297,0.5132
TSLA,750,2.0081,0.4478,0.4317,0.9911,-0.2814,0.5227
PLTR,230,-0.1738,-0.1887,0.5034,-0.4146,-0.5108,0.4870
